# Source 	Use	Stranded	BiologicalState	ReadLength	Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Collection_Date	Experiment	geo_loc_name_country	LibraryLayout	LibrarySelection
AUSTRALIAN NATIONAL UNIVERSITY	TRUE	FALSE	adult	100	ERR1143554	RNA-Seq	202	2314256228	PRJEB11837	SAMEA3672118	1794284760	2013	ERX1222364	Norway	PAIRED	RANDOM
AUSTRALIAN NATIONAL UNIVERSITY	TRUE	FALSE	larval	100	ERR1143553	RNA-Seq	202	5111951380	PRJEB11837	SAMEA3672117	3416104749	2014	ERX1222363	Norway	PAIRED	RANDOM
KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY	TRUE	RF	body tissue	125	SRR10604726	RNA-Seq	252	12603801420	PRJNA594150	SAMN13506241	5992595388	2017-07	SRX7284272	Russia	PAIRED	cDNA
KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY	TRUE	RF	body tissue	125	SRR10604732	RNA-Seq	252	12004174980	PRJNA594150	SAMN13506239	5720738452	2017-11	SRX7284266	Russia	PAIRED	cDNA
KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY	TRUE	RF	cell aggregates	125	SRR10604727	RNA-Seq	252	12708222912	PRJNA594150	SAMN13506240	5962850653	2017-11	SRX7284271	Russia	PAIRED	cDNA
KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY	TRUE	RF	defrostated body tissue	125	SRR10604724	RNA-Seq	252	12055341816	PRJNA594150	SAMN13506243	5806679133	2017-07	SRX7284274	Russia	PAIRED	cDNA
KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY	TRUE	RF	dissociated cells	125	SRR10604725	RNA-Seq	252	12140575272	PRJNA594150	SAMN13506242	5824602547	2017-07	SRX7284273	Russia	PAIRED	cDNA
KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY	TRUE	RF	dissociated cells	125	SRR10604734	RNA-Seq	252	12039794928	PRJNA594150	SAMN13506238	5721313895	2017-11	SRX7284265	Russia	PAIRED	cDNA
LOMONOSOV MSU	TRUE	RF	Early-staged primmorphs (24 hpd)	150	SRR32050810	RNA-Seq	300	14628989700	PRJNA1212902	SAMN46312419	4782670009	2023-08	SRX27399891	Russia	PAIRED	PolyA
LOMONOSOV MSU	FALSE	RF	Early-staged primmorphs (24 hpd)	150	SRR32050811	RNA-Seq	300	10271477100	PRJNA1212902	SAMN46312418	3322661212	2023-08	SRX27399890	Russia	PAIRED	PolyA
LOMONOSOV MSU	FALSE	RF	Early-staged primmorphs (24 hpd)	150	SRR32050812	RNA-Seq	300	9612644100	PRJNA1212902	SAMN46312417	3155717615	2023-08	SRX27399889	Russia	PAIRED	PolyA
LOMONOSOV MSU	TRUE	RF	Fully reconstructed sponges	150	SRR32050818	RNA-Seq	300	13996827900	PRJNA1212902	SAMN46312427	4594794224	2023-08	SRX27399883	Russia	PAIRED	PolyA
LOMONOSOV MSU	FALSE	RF	Fully reconstructed sponges	150	SRR32050819	RNA-Seq	300	12864144000	PRJNA1212902	SAMN46312426	4222449492	2023-08	SRX27399882	Russia	PAIRED	PolyA
LOMONOSOV MSU	FALSE	RF	Fully reconstructed sponges	150	SRR32050817	RNA-Seq	300	8982332100	PRJNA1212902	SAMN46312428	2939039047	2023-08	SRX27399884	Russia	PAIRED	PolyA
LOMONOSOV MSU	TRUE	RF	Intact tissues	150	SRR32050825	RNA-Seq	300	10840470900	PRJNA1212902	SAMN46312412	3535473931	2023-08	SRX27399876	Russia	PAIRED	PolyA
